State,Year,Gender,Schools,Participation
Vermont,1984,Girls,28,635
Virginia,1984,Girls,257,7139
Washington,1984,Girls,312,6860
West Virginia,1984,Girls,104,2009
Wisconsin,1984,Girls,387,13315
Wyoming,1984,Girls,71,1850
Alabama,1985,Boys,214,3698
Alaska,1985,Boys,28,638
Arizona,1985,Boys,143,4556
Arkansas,1985,Boys,284,6284
California,1985,Boys,812,34474
Colorado,1985,Boys,248,9920
Connecticut,1985,Boys,161,5752
Delaware,1985,Boys,28,942
District Of Columbia,1985,Boys,11,330
Florida,1985,Boys,349,9307
Georgia,1985,Boys,333,9192
Hawaii,1985,Boys,50,1824
Idaho,1985,Boys,123,3233
Illinois,1985,Boys,651,27237
Indiana,1985,Boys,370,12185
Iowa,1985,Boys,480,13115
Kansas,1985,Boys,368,9443
Kentucky,1985,Boys,245,3675
Louisiana,1985,Boys,355,7641
Maine,1985,Boys,112,3472
Maryland,1985,Boys,139,4982
Massachusetts,1985,Boys,252,10444
Michigan,1985,Boys,649,24612
Minnesota,1985,Boys,436,10860
Mississippi,1985,Boys,200,3774
Missouri,1985,Boys,419,14582
Montana,1985,Boys,182,3400
Nebraska,1985,Boys,361,8831
Nevada,1985,Boys,60,1682
New Hampshire,1985,Boys,45,1990
New Jersey,1985,Boys,325,12456
New Mexico,1985,Boys,118,3539
New York,1985,Boys,689,20283
North Carolina,1985,Boys,287,11147
North Dakota,1985,Boys,210,2896
Ohio,1985,Boys,751,25879
Oklahoma,1985,Boys,332,4980
Oregon,1985,Boys,236,11800
Pennsylvania,1985,Boys,498,19900
Rhode Island,1985,Boys,37,1388
South Carolina,1985,Boys,179,5389
South Dakota,1985,Boys,197,4673
Tennessee,1985,Boys,196,6076
Texas,1985,Boys,1116,32105
Utah,1985,Boys,100,3605
Vermont,1985,Boys,31,1085
Virginia,1985,Boys,270,9450
Washington,1985,Boys,323,9760
West Virginia,1985,Boys,105,2812
Wisconsin,1985,Boys,386,12079
Wyoming,1985,Boys,72,1900
Alabama,1985,Girls,168,1983
Alaska,1985,Girls,29,532
Arizona,1985,Girls,135,3160
Arkansas,1985,Girls,260,3120
California,1985,Girls,797,19075
Colorado,1985,Girls,247,9880
Connecticut,1985,Girls,146,4724
Delaware,1985,Girls,26,786
District Of Columbia,1985,Girls,9,180
Florida,1985,Girls,328,6150
Georgia,1985,Girls,302,6536
Hawaii,1985,Girls,50,1039
Idaho,1985,Girls,123,2358
Illinois,1985,Girls,636,17863
Indiana,1985,Girls,376,10311
Iowa,1985,Girls,463,18520
