"Year","Gender","Class","Name","Mark","Event","State"
1993,"Boys","D","Chad Harms         Adams                   ","6-00","High Jump","Nebraska"
1993,"Boys","D","Chris Darnell     Falls City SH       ","13-02","Pole Vault","Nebraska"
1993,"Boys","D","Ryan Manning      Exeter              ","12-10","Pole Vault","Nebraska"
1994,"Girls","A","Tina Ellis            Bellevue East       ","12.23","100m","Nebraska"
1994,"Girls","A","Elisa Koch          Millard North       ","2:18.90","800m","Nebraska"
1994,"Girls","A","Carla Sudbeck         Millard South      ","5:08.97","1600m","Nebraska"
1994,"Girls","A","Laura Martin        Fremont               ","5-07","High Jump","Nebraska"
1994,"Girls","B","Melissa Nootz      Milford           ","12.11","100m","Nebraska"
1994,"Girls","B","Nora Shepherd          York              ","2:15.84","800m","Nebraska"
1994,"Girls","B","Nora Shepherd      York             ","5:08.47","1600m","Nebraska"
1994,"Girls","B","Karen Fink             Crete               ","5-05","High Jump","Nebraska"
1994,"Girls","C","Rachelle Kuchar      Battle Creek         ","12.23","100m","Nebraska"
1994,"Girls","C","Jodi Dubs           David City            ","2:15.42","800m","Nebraska"
1994,"Girls","C","Nicole Hauser        Arnold              ","5:20.02","1600m","Nebraska"
1994,"Girls","C","Tina Masek          Wahoo Neumann           ","5-04","High Jump","Nebraska"
1994,"Girls","D","Lesley Ringenberg   Eustis/Farnam      ","12.16","100m","Nebraska"
1994,"Girls","D","Mindi Sealey         Polk-Hordville     ","2:23.36","800m","Nebraska"
1994,"Girls","D","Darcy Stracke       Chambers          ","5:31.61","1600m","Nebraska"
1994,"Girls","D","Tonya Kneifl         Newcastle            ","5-07","High Jump","Nebraska"
1994,"Boys","A","Mark Rollins         Omaha Benson        ","10.77","100m","Nebraska"
1994,"Boys","A","Ron Jones            Omaha Bryan         ","1:57.03","800m","Nebraska"
1994,"Boys","A","Cortney Lamb         Lincoln Southeast  ","4:23.11","1600m","Nebraska"
1994,"Boys","A","Kevin Koster         Kearney              ","6-09","High Jump","Nebraska"
1994,"Boys","A","Scott Nachtigal     Kearney         ","15-00","Pole Vault","Nebraska"
1994,"Boys","B","Kenton Peterson    Beatrice          ","10.91","100m","Nebraska"
1994,"Boys","B","Kevin Brewer        Minden               ","1:54.95","800m","Nebraska"
1994,"Boys","B","Anthony Alt        Waverly          ","4:25.67","1600m","Nebraska"
1994,"Boys","B","Chris Gillespie     Boys Town             ","6-10.5","High Jump","Nebraska"
1994,"Boys","B","Justin Tripp       Ashland-Greenwood   ","14-06","Pole Vault","Nebraska"
1994,"Boys","C","Kenny Bogus           Centura            ","11.07","100m","Nebraska"
1994,"Boys","C","Ed Thompson        Cambridge             ","1:58.13","800m","Nebraska"
1994,"Boys","C","Aaron Carrizales      Morrill           ","4:28.74","1600m","Nebraska"
1994,"Boys","C","Josh Long          Arapahoe                ","6-09","High Jump","Nebraska"
1994,"Boys","C","Corbin Tessman       Henderson          ","13-07","Pole Vault","Nebraska"
1994,"Boys","D","Curt Grundman      NE City Lourdes    ","11.28","100m","Nebraska"
1994,"Boys","D","Brian McKim         Falls City SH      ","2:01.11","800m","Nebraska"
1994,"Boys","D","Waylon Strom       Lynch             ","4:39.29","1600m","Nebraska"
1994,"Boys","D","Travis Bieck        Giltner              ","6-05","High Jump","Nebraska"
1994,"Boys","D","Nate Froeschl      Falls City SH      ","13-10","Pole Vault","Nebraska"
