Year,Event,Class,Name,School,Mark
,,3A,"Dana Shavilier, Michelle Livingston, Mary Simon, Colette Tate",Camden County Wildcats,49.19
,,2A,"Monica Willis, Andrea Williams, Lisa Pierce, Tracy Green",Collins (ATL) Cougars (Banneker),49.01
,,1A,"Cynthia Gilghrest, Conice McRae, Debra McRae, Pat Gilgrhest",Reidsville Tigers (Tattnall County),50.51
,1600m Run,4A,Lee Ann Case,Walton Raiders,04:58.3
,,3A,Ketchia Smith,Gordon Generals (McNair Middle),05:14.4
,,2A,Vancy Lewis,Turner (ATL) Greenwaves,5;17.84
,,1A,Gail Brown,Louisville Eagles (Jefferson County),05:31.0
,400m Dash,4A,Kandace Pritchett,Mays Raiders,55.29
,,3A,Dana Jefferson,Woodward Academy War Eagles,56.59
,,2A,Carla Yancey,Jefferson Dragons,58.38
,,1A,Brenda Davis,Whigham Braves (Cairo),59.28
,100m Dash,4A,Anita Howard,Butler Bulldogs,11.96
,,3A,Sabrina Anderson,Worth County Rams,12.65
,,2A,Tonya Edwards,Decatur Bulldogs,12.53
,,1A,Tammy Anderson,Whigham Braves (Cairo),12.49
,100m Low Hurdles,4A,Barbara Cooper,Columbia Eagles,14.17
,,3A,Latashia Rogers,Winder-Barrow Bulldoggs,14.51
,,2A,Regina Johnson,Decatur Bulldogs,15.61
,,1A,Anita Floyd,Atkinson County Rebels,15.6
,800m Run,4A,Susan Crisp,Brookwood Broncos,02:08.8
,,3A,Nancy Heter,St. Pius X Golden Lions,02:18.6
,,2A,Allison Sutton,Swainsboro Tigers,02:22.3
,,1A,Brenda Davis,Whigham Braves (Cairo),02:23.7
,200m Dash,4A,Anita Howard,Butler Bulldogs,24.31
,,3A,Colette Tate,Camden County Wildcats,24.94
,,2A,Tracy Green,Collins (ATL) Cougars (Banneker),25.79
,,1A,Tammy Anderson,Whigham Braves (Cairo),25.51
,3200m Run,4A,Mindy Luken,Lassiter Trojans,10:59.2
,,3A,Ketchia Smith,Gordon Generals (McNair Middle),11:07.7
,,2A,Carla Nunziato,Crestwood (ATL) Colonels,11:47.6
,,1A,Wendy Garland,Pace Academy Knights,12:18.7
,4x400m Relay,4A,"Lisa Weldon, Charlene Sanford, Charlotte Sanford, Kandice Pritchett",Mays Raiders,03:56.7
,,3A,"Lanette Coleman, Katrina Emanuel, Renee Youngblood, Janice Wilkerson",Laney Wildcats,03:55.9
,,2A,"Pam Owensby, Tynesia Altson, Kim Stanley, Valissa Allen",Feldwood (ATL) Flames (Banneker),03:59.5
,,1A,"Gail Brown, Tracy Jordan, LaTonya Durden, Karen Williams",Louisville Eagles (Jefferson County),04:04.6
,High Jump,4A,Jerree Jefferson,Beach Bulldogs,"123' 4"""
,,3A,Tonya Byrd,Monroe Area Purple Hurricanes,"119' 3"""
,,2A,Melonie Kolshorn,Collins (ATL) Cougars (Banneker),"126' 0"""
,,1A,Betty Thomas,Taylor County Vikings,"110' 11"""
,Long Jump,4A,Lenesia Thompson,Effingham County Rebels,"5' 8"""
,,3A,Debbie Grist,Woodward Academy War Eagles,"5' 6"""
,,2A,Malinda Russell,Crestwood (ATL) Colonels,"5' 4"""
,,1A,Lori Calhoun,Brookstone Cougars,"5' 2"""
,Shot Put,4A,Brenda Simmons,Tift County Blue Devils,"41' 3.25"""
,,3A,Angela Wiggins,Washington County Hawks,"36' 11"""
,,2A,Jennifer Jones,Woodland Wildcats (Tri-Cities),"38' 8.5"""
,,1A,Sharon Sumlin,Palmetto (ATL) Raiders (Creekside),"35' 0.75"""
,Discus,4A,Vacinda Crawford,Southwest DeKalb Panthers,"18' 6"""
,,3A,Colette Tate,Camden County Wildcats,"17' 8.75"""
,,2A,Monica Willis,Collins (ATL) Cougars (Banneker),"17' 8.25"""
,,1A,Tammy Anderson,Whigham Braves (Cairo),"17' 10"""
1984,440 Yd. Relay,4A,"Tracey Williams, Celena Mondie, Lula Bell Hubbard, Lois Hartry",Baldwin Braves,49
,,3A,"Lisa Kelly, Audra Randolph, Corie Kelly, Anjanette Odum",Monroe Area Purple Hurricanes,49
,,2A,"Conise McCrae, Cynthia Gilcrest, Patricia Gilcrest, Mary Sharp",Reidsville Tigers (Tattnall County),50.5
,,1A,"LaShun Simpson, Tammy Anderson, Brenda Davis, Jackie Elllis",Whigham Braves (Cairo),50.7
,1 Mile Run,4A,Alena Palmquist,Walton Raiders,05:00.1
,,3A,Sandra Rymer,Murray County Indians,05:23.5
,,2A,Carrie Hatcher,Lovett Lions,05:26.8
,,1A,Teresa Crisp,Palmetto (ATL) Raiders (Creekside),05:31.4
,440 Yd. Dash,4A,Mary Cater,Therrell Panthers,58.7
,,3A,Colette Tate,Camden County Wildcats,57.3
,,2A,Valissa Allen,Feldwood (ATL) Flames (Banneker),59.8
,,1A,Brenda Davis,Whigham Braves (Cairo),01:01.2
,100 Yd. Dash,4A,Deidre Hampton,Lowndes Vikings,11
,,3A,Tracey Cloud,Stockbridge Tigers,11.44
,,2A,Conise McRae,Reidsville Tigers (Tattnall County),11.55
,,1A,Tonya Heard,West Point Red Devils (Troup),11.4
,110 Yd. Low Hurdles,4A,Menka Sykles,Southwest DeKalb Panthers,14.53
,,3A,Regina Johnson,Decatur Bulldogs,14.58
,,2A,Deborah Payne,Darlington Tigers,15.49
,,1A,Jackie Davis,Pelham Hornets,15.37
,880 Yd. Run,4A,Stacy Shelton,Lakeside (Dekalb) Vikings,02:17.3
,,3A,Susan Crisp,Brookwood Broncos,02:18.1
,,2A,Jane Rodrique,Ridgeview (ATL) Redskins,02:24.9
,,1A,Teresa Crisp,Palmetto (ATL) Raiders (Creekside),02:25.7
,220 Yd. Dash,4A,Deidre Hampton,Lowndes Vikings,24.79
,,3A,Ladania Jefferson,Woodward Academy War Eagles,25.78
,,2A,Conise McRae,Reidsville Tigers (Tattnall County),26.34
,,1A,Tammy Anderson,Whigham Braves (Cairo),26.01
,2 Mile Run,4A,Mindy Lukens,Lassiter Trojans,11:07.5
,,3A,Robin Lindsey,Brookwood Broncos,11:38.0
,,2A,Marsha Ragland,West Rome Chieftans (Rome),11:54.9
,,1A,Wendy Garland,Pace Academy Knights,12:16.0
,Mile Relay,4A,"Sherry Mullins, Vicky Lipsey, Fontaine Spivey, Virginia Smith",Statesboro Blue Devils,04:00.6
,,3A,"Janine Anthony, Serena Gundy, Adraine King, Loreen White",Gordon Generals (McNair Middle),03:58.7
,,2A,"Mary Sharp, Denise White, Laura Crumbley, Melinda Kennedy",Reidsville Tigers (Tattnall County),04:09.6
,,1A,"Tammy Anderson, Jackie Ellis, Brenda Davis, Tracy Dodson",Whigham Braves (Cairo),04:07.7
,Discus,4A,Jeree Jefferson,Beach Bulldogs,"118' 10"""
,,3A,Jill Palmer,Habersham Central Raiders,"131' 9"""
,,2A,Debra Baughns,Oglethorpe County Patriots,"112' 2"""
,,1A,Malynda Carruth,Jefferson Dragons,"122' 0"""
,High Jump,4A,Shannon Averill,North Cobb Warriors,"5' 8"""
,,3A,Leinesa Thompson,Effingham County Rebels,"5' 6"""
,,2A,Cheryl Ray,Wilkinson County Warriors,"5' 4"""
,,1A,Betsy Clark,Whigham Braves (Cairo),"5' 2"""
,Shot Put,4A,Brenda Simmons,Tift County Blue Devils,"40' 1.5"""
,,3A,Jill Palmer,Habersham Central Raiders,"45' 3.75"""
,,2A,Joy Ivemeyer,Rabun County Wildcats,"35' 5.5"""
,,1A,Malynda Carruth,Jefferson Dragons,"36' 1.75"""
,Long Jump,4A,Menka Sykes,Southwest DeKalb Panthers,"18' 10.25"""
,,3A,Latashia Rogers,Winder-Barrow Bulldoggs,"18' 7.75"""
,,2A,Veronica Daniels,West Rome Chieftans (Rome),"17' 7"""
,,1A,Tammy Anderson,Whigham Braves (Cairo),"16' 11"""
1983,440 Yd. Relay,4A,"Barbara Cooper, Kara Houston, Gwen Torrence, Teresa Howard",Columbia Eagles,47.37
,,3A,"Janine Anthony, Jeanie Hutchins, Vonda Cain, Edith Dennis",Gordon Generals (McNair Middle),48.46
,,2A,"Sandra Rowe, Loretta Parks, Kim Keith, Shyla Ridley",Central (Carrollton) Lions,50.49
,,1A,"Lashun Simpson, Tammy Anderson, Brenda Davis, Tammy Johnson",Whigham Braves (Cairo),50.99
,1 Mile Run,4A,Laura Kemp,Lassiter Trojans,05:09.1
,,3A,Chris Vorphal,Norcross Blue Devils,05:21.6
,,2A,Jennifer Kampmeier,Ridgeview (ATL) Redskins,05:24.6
,,1A,Teresa Crisp,Palmetto (ATL) Raiders (Creekside),05:36.0
,440 Yd. Dash,4A,Kim Rudd,South Cobb Eagles,58.04
,,3A,Michelle Price,Avondale Blue Devils,57.83
,,2A,Brenda Burden,Pike County Pirates,56.99
,,1A,Tangela Thomas,Atkinson County Rebels,01:00.9
,100 Yd. Dash,4A,Gwen Torrence,Columbia Eagles,11.25
,,3A,Kathy Harrison,Marist War Eagles,11.19
,,2A,Claudia Dobbs,Lakeshore Lancers (Westlake),11.61
,,1A,Tanja Heard,West Point Red Devils (Troup),11.41
,110 Yd. Low Hurdles,4A,Betty Mitchell,East Wildcats (Crim),14.64
,,3A,Euodia Rambo,Woodward Academy War Eagles,15.07
,,2A,Elizabeth Moore,Lovett Lions,15.13
,,1A,Jackie Davis,Pelham Hornets,15.85
,880 Yd. Run,4A,Stacy Shelton,Lakeside (Dekalb) Vikings,02:17.2
,,3A,Loreen White,Gordon Generals (McNair Middle),02:18.3
,,2A,Jane Rodrigue,Ridgeview (ATL) Redskins,02:22.5
,,1A,Teresa Crisp,Palmetto (ATL) Raiders (Creekside),02:26.9
,220 Yd. Dash,4A,Gwen Torrence,Columbia Eagles,24.82
,,3A,Kathy Harrison,Marist War Eagles,24.63
,,2A,Claudia Dobbs,Lakeshore Lancers (Westlake),25.44
,,1A,Tanja Heard,West Point Red Devils (Troup),26
,2 Mile Run,4A,Alena Palmquist,Walton Raiders,11:18.6
,,3A,Ketchia Smith,Gordon Generals (McNair Middle),11:31.6
,,2A,Jennifer Kampmeier,Ridgeview (ATL) Redskins,11:35.1
,,1A,Terri Lynch,Bryan County Redskins,12:15.0
,Mile Relay,4A,"Barbara Cooper, Kara Houston, Teresa Howard, Gwen Torrence",Columbia Eagles,03:52.7
,,3A,"Vonda Cain, Felecia Williams, Edith Dennis, Loreen White",Gordon Generals (McNair Middle),03:57.7
,,2A,"Brenda Burden, Sharon Passmore, Willie Passmore, Marie Evans",Pike County Pirates,04:05.0
,,1A,"Lashun Simpson, Tammy Johnson, Tammy Anderson, Brenda Davis",Whigham Braves (Cairo),04:10.3
,Discus,4A,Vanessa Graham,Kendrick Cherokees,"128' 2"""
,,3A,Tonya Davenport,North Springs Spartans,"119' 1"""
,,2A,Sylvia Wilson,Morgan County Bulldogs,"116' 7"""
,,1A,Melinda Carruth,Jefferson Dragons,"118' 7"""
,High Jump,4A,Michele Tuggle,Northside (Warner Robins) Eagles,"5' 7"""
,,3A,Latasha Rogers,Winder-Barrow Bulldoggs,"5' 7"""
,,2A,Cheryl Ray,Wilkinson County Warriors,"5' 3"""
,,1A,Tangela Thomas,Atkinson County Rebels,"5' 3"""
,Shot Put,4A,Vanessa Graham,Kendrick Cherokees,"40' 3"""
,,3A,Jill Palmer,Habersham Central Raiders,"43' 11.75"""
,,2A,Claudia Dobbs,Lakeshore Lancers (Westlake),"39' 3.5"""
,,1A,Melinda Carruth,Jefferson Dragons,"37' 5"""
,Long Jump,4A,Menka Sykes,Southwest DeKalb Panthers,"18' 10.5"""
,,3A,Kathy Harrison,Marist War Eagles,"19' 2.25"""
,,2A,Veronica Daniel,West Rome Chieftans (Rome),"17' 5"""
,,1A,Tvonne Smith,Berry Academy Falcons,"18' 1"""
1982,440 Yd. Relay,4A,"Tiffany Styles, Renie Luster, Djuana Toney, Patrice Jeffers",Marietta Blue Devils,48.98
,,3A,"Danielle Chapman, Kara Houston, Starlyn Hamilton, Gwen Torrence",Columbia Eagles,49.33
,,2A,"Brenda Burden, Sherry Moses, Willie M. Passmore, Reva Carriker",Pike County Pirates,49.72
,,1A,"Fannie Frazier, Kea Lovelace, Vickie Hill, Tonja Heard",West Point Red Devils (Troup),51.79
,1 Mile Run,4A,Alena Palmquist,Walton Raiders,05:09.4
,,3A,Loreene White,Gordon Generals (McNair Middle),05:19.2
,,2A,Jennifer Kampmeier,Ridgeview (ATL) Redskins,05:29.6
,,1A,Teresa Crisp,Palmetto (ATL) Raiders (Creekside),05:43.4
,440 Yd. Dash,4A,Kim Rudd,South Cobb Eagles,58.95
,,3A,Denice Roberson,Worth County Rams,59.5
,,2A,Sherry Moses,Pike County Pirates,58.18
,,1A,Stephanie Hines,Whigham Braves (Cairo),58.07
,100 Yd. Dash,4A,Brenda Cliette,Northeast Raiders,10.8
,,3A,Gwen Torrence,Columbia Eagles,11.08
,,2A,Brenda Burden,Pike County Pirates,11.39
,,1A,Karen Knight,Charlton County Indians,11.64
,110 Yd. Low Hurdles,4A,Janet Davis,Washington (ATL) Bulldogs,14.77
,,3A,Lisa Jenkins,West Fulton Owls,14.37
,,2A,Wanda Mann,Bass (ATL) Blue Warriors,15.41
,,1A,Rosetta Tremble,Wrens Colts (Jefferson County),16.19
,880 Yd. Run,4A,Tami Smith,Windsor Forest Knights,02:18.0
,,3A,Loreen White,Gordon Generals (McNair Middle),02:19.5
,,2A,Jane Rodrique,Ridgeview (ATL) Redskins,02:27.2
,,1A,Teresa Crisp,Palmetto (ATL) Raiders (Creekside),02:27.8
,220 Yd. Dash,4A,Brenda Cliette,Northeast Raiders,24.81
,,3A,Patricia Duggan,Avondale Blue Devils,24.77
,,2A,Brenda Burden,Pike County Pirates,25.71
,,1A,Stephanie Hines,Whigham Braves (Cairo),25.72
,2 Mile Run,4A,Alena Palmquist,Walton Raiders,11:26.1
,,3A,Stacie Reich,Chamblee Bulldogs,11:44.8
,,2A,Jennifer Kampmeier,Ridgeview (ATL) Redskins,11:50.9
,,1A,Keshia Freeman,Atkinson County Rebels,12:37.5
,Mile Relay,4A,"Janice Bryant, Tamara Carter, Latonya Green, Brenda Cliette",Northeast Raiders,03:58.5
,,3A,"Karen Houston, Theresa Fowler, Gwen Torrence, Danielle Chapman",Columbia Eagles,03:53.3
,,2A,"Brenda Burden, Sherry Moses, Willie M. Passmore, Reva Carriker",Pike County Pirates,03:56.7
,,1A,"Tracy Dodson, Brenda Davis, Tammie Johnson, Stephanie Hines",Whigham Braves (Cairo),04:07.7
,Discus,4A,Vanessa Graham,Kendrick Cherokees,"137' 4"""
,,3A,Moranda Benjamin,Swainsboro Tigers,"124' 9"""
,,2A,Julie Burroughs,Briarwood Buccaneers (Tri-Cities),"113' 2"""
,,1A,Elizabeth Mathis,Greater Atlanta Christian Spartans,"110' 3"""
,High Jump,4A,Michelle Tuggle,Northside (Warner Robins) Eagles,"5' 6"""
,,3A,Lisa Jenkins,West Fulton Owls,"5' 4"""
,,2A,Ruby Byrd,Lee County Trojans,"5' 5"""
,,1A,Tangela Thomas,Atkinson County Rebels,"5' 0"""
,Shot Put,4A,Vanessa Graham,Kendrick Cherokees,"42' 3.25"""
,,3A,Moranda Benjamin,Swainsboro Tigers,"39' 0.5"""
,,2A,Julie Burroughs,Briarwood Buccaneers (Tri-Cities),"41' 8.25"""
,,1A,Charlene Buckner,Monticello Purple Hurricanes,"34' 3"""
,Long Jump,4A,Brenda Cliette,Northeast Raiders,"18' 4.75"""
,,3A,Kathy Harrison,Marist War Eagles,"18' 4.75"""
,,2A,Phyllis Monds,Brooks County Trojans,"17' 5.5"""
,,1A,Yvonne Smith,Berry Academy Falcons,"16' 11.75"""
1981,440 Yd. Relay,4A,"Roseziner Jackson, Karen Ingram, Veronica Melvin, Lisa Jones",Valdosta Wildcats,48.42
,,3A,"Patricia Jackson, Valeria Jackson, Patricia Holland, Wylene Jackson",George (ATL) Falcons (South Atlanta),48.72
,,2A,"April Williams, Anita Vinson, Vivian Dixon, Deamey Demmons",Price Wildcats (Carver-ATL),50.2
,,1A,"Jackie Brown, Stephanie Johnson, Margie Davis, Janice Vicker",Atkinson County Rebels,50.75
,1 Mile Run,4A,Alena Palmquist,Walton Raiders,05:09.3
,,3A,Loreen White,Gordon Generals (McNair Middle),05:23.8
,,2A,Audrey Garrett,Westminster Wildcats,05:26.4
,,1A,Amanda Burr,Paideia Pythons,05:33.5
,440 Yd. Dash,4A,Wendy Morris,Walton Raiders,58.47
,,3A,Lawanda Stewart,Archer (ATL) Eagles,57.36
,,2A,Sherry Moss,Pike County Pirates,58.6
,,1A,Stephanie Hines,Whigham Braves (Cairo),58.8
,100 Yd. Dash,4A,Brenda Cliette,Northeast Raiders,11.13
,,3A,Patricia Duggan,Avondale Blue Devils,11.21
,,2A,April Williams,Price Wildcats (Carver-ATL),11.74
,,1A,Karen Knight,Charlton County Indians,11.87
,110 Yd. Low Hurdles,4A,Lisa Jones,Valdosta Wildcats,14.56
,,3A,Kathy Thompson,Winder-Barrow Bulldoggs,15.32
,,2A,Stephanie Green,Bass (ATL) Blue Warriors,15.19
,,1A,Janet Fluker,Brookstone Cougars,14.16
,880 Yd. Run,4A,Joanne Lamb,Walton Raiders,02:19.8
,,3A,Gwyndolyn Lattimore,Gordon Generals (McNair Middle),02:17.7
,,2A,Bonnie Smith,Ridgeview (ATL) Redskins,02:24.4
,,1A,Janet Fluker,Brookstone Cougars,02:20.6
,220 Yd. Dash,4A,Brenda Cliette,Northeast Raiders,25.09
,,3A,Paulette McClaney,Cedartown Bulldogs,24.64
,,2A,Angelia Nunnaly,Glennville Bulldogs (Tattnall County),25.96
,,1A,Stephanie Hines,Whigham Braves (Cairo),25.97
,2 Mile Run,4A,Alena Palmquist,Walton Raiders,11:03.0
,,3A,Diandrea Lampkin,St. Pius X Golden Lions,11:55.5
,,2A,Audrey Garrett,Westminster Wildcats,11:43.0
,,1A,Marie Boulware,Pace Academy Knights,12:05.5
,Mile Relay,4A,"Roseziner Jackson, Karen Ingram, Veronica Melvin, Lisa Jones",Valdosta Wildcats,03:56.5
,,3A,"Bridgett Jones, Gwendolyn Lattimore, Loreen White, Kimberly Mobley",Gordon Generals (McNair Middle),03:59.6
,,2A,"Riva Curriker, Sherry Moses, Marie Evans, Willie M. Passmore",Pike County Pirates,04:04.3
,,1A,"Stephanie Johnson, Jackie Brown, Brenda Kaye, Tangela Thomas",Atkinson County Rebels,04:06.2
,Discus,4A,Cindy Payne,North Cobb Warriors,"133' 4"""
,,3A,Paula McGuire,Avondale Blue Devils,"128' 6"""
,,2A,Sally Page,Oconee County Warriors,"114' 10"""
,,1A,Jill Vickers,Whigham Braves (Cairo),"114' 4"""
,High Jump,4A,Shannon Averill,North Cobb Warriors,"5' 4"""
,,3A,Mary Peacock,Washingotn County,"5' 4"""
,,2A,Tammie Dozier,Cedar Grove Saints,"5' 2"""
,,1A,Kathy Hall,West Point Red Devils (Troup),"5' 2"""
,Shot Put,4A,Vanessa Graham,Kendrick Cherokees,"40' 10.25"""
,,3A,Paula McGuire,Avondale Blue Devils,"36' 10.5"""
,,2A,Sally Page,Oconee County Warriors,"42' 4"""
,,1A,Patricia Green,Douglass (Montezuma) Yellow Jackets (Macon County),"35' 11.25"""
,Long Jump,4A,Lisa Jones,Valdosta Wildcats,"19' 8"""
,,3A,Kathy Harrison,Marist War Eagles,"19' 3.25"""
,,2A,Michelle Anderson,Lyons Bulldogs (Toombs County),"17' 11.5"""
,,1A,Yvonne Smith,Berry Academy Falcons,"18' 1.5"""
1980,440 Yd. Relay,4A,"Roseziner Jackson, Denise Williams, Lisa Jones, Vera Dotson",Valdosta Wildcats,48.21
,,3A,"Bonica Franklin, Jacquelyne Turner, Sandra Clark, Patricia Duggan",Avondale Blue Devils,48.81
,,2A,"Tammy Worthy, Debra Riden, Lynn Walker, Sabrina Miller",Westwood Vikings (Westlake Lions),48.74
,,1A,"Fannie Frazier, Cathy Hall, Vickie Hill, Rosephanye Dunn",West Point Red Devils (Troup),51.17
,1 Mile Run,4A,Joanne Lamb,Walton Raiders,05:15.5
,,3A,Mary Peacock,Washington (ATL) Bulldogs,05:29.2
,,2A,Kim Smith,North Springs Spartans,05:22.1
,,1A,Marie Boulware,Pace Academy Knights,05:20.2
,440 Yd. Dash,4A,Sherrelle Brown,Douglass (ATL) Astros,57.34
,,3A,Daphane Lee,Winder-Barrow Bulldogs,56.32
,,2A,Lawanda Stewart,Archer (ATL) Eagles,58.63
,,1A,Stephanie Hines,Whigham Braves (Cairo),59.78
,100 Yd. Dash,4A,Lisa Jones,Valdosta Wildcats,11.22
,,3A,Kathy Harrison,Marist War Eagles,11.33
,,2A,Lynn Walker,Westwood Vikings (Westlake Lions),11.44
,,1A,Michele Whatley,Berry Academy Falcons,11.86
,110 Yd. Low Hurdles,4A,Lisa Jones,Valdosta Wildcats,14.04
,,3A,Barbara Murray,Worth County Rams,14.84
,,2A,Debra Riden,Westwood Vikings (Westlake Lions),15.59
,,1A,Janet Fluker,Brookstone Cougars,15.52
,880 Yd. Run,4A,Denise Coholich,Fayette County Tigers,02:19.5
,,3A,Gwendolyn Latimore,Gordon Generals (McNair Middle),02:22.6
,,2A,Kim Smith,North Springs Spartans,02:18.4
,,1A,Colette Acuff,Savannah Country Day Hornets,02:25.1
,220 Yd. Dash,4A,Cindy Cochran,Campbell-Smyrna Panthers (Campbell),25.29
,,3A,Paulette McClaney,Cedartown Bulldogs,25.1
,,2A,Leslie McDonald,Crestwood (ATL) Colonels,25.33
,,1A,Yvonne Smith,Berry Academy Falcons,26.59
,2 Mile Run,4A,Nancy Reitz,Wheeler Wildcats,11:16.8
,,3A,Cindy Campbell,Calhoun Yellow Jackets,11:52.3
,,2A,Terry Campbell,McIntosh County Academy Buccaneers,12:06.4
,,1A,Marie Boulware,Pace Academy Knights,11:23.1
,Mile Relay,4A,"Terri Sellars, Alison McCrary, Glenda Smith, Sherrelle Brown",Douglass (ATL) Astros,03:56.9
,,3A,"Patricia Duggan, Sandra Clark, Terri Ransom, Sharon Langley",Avondale Blue Devils,04:00.3
,,2A,"Sarah Fulcher, Thelma McCarthy, Darla Fallin, Leslie McDonald",Crestwood (ATL) Colonels,04:09.9
,,1A,"Regina Muhyee, Cheri Sexton, Angela Foster, Kelly White",Feldwood (ATL) Flames (Banneker),04:12.3
,Discus,4A,Dawn Scarborough,Fayette County Tigers,"135' 8"""
,,3A,Paula McGuire,Avondale Blue Devils,"122' 3"""
,,2A,Sally Page,Oconee County Warriors,"119' 5"""
,,1A,Ada Healey,Pace Academy Knights,"112' 0"""
,High Jump,4A,Barbara King,Griffin Bears,"5' 2"""
,,3A,Teresa Edwards,Cairo Syrupmakers,"5' 6"""
,,2A,Tammy Dozier,Cedar Grove Saints,"5' 5"""
,,1A,Joi Ingram,Armuchee Indians,"5' 2"""
,Shot Put,4A,Patty Miller,Savannah Blue Jackets,"39' 0"""
,,3A,Martha Foster,Washington (ATL) Bulldogs,"39' 2.25"""
,,2A,Julie Burroughs,Briarwood Buccaneers (Tri-Cities),"39' 10.5"""
,,1A,Kathy Gilmore,Monticello Purple Hurricanes,"32' 9.75"""
,Long Jump,4A,Lisa Jones,Valdosta Wildcats,"19' 5.5"""
,,3A,Kathy Harrison,Marist War Eagles,"18' 6.5"""
,,2A,Phyllis Stuckey,Lyons Bulldogs (Toombs County),"17' 11.75"""
,,1A,Yvonne Smith,Berry Academy Falcons,"17' 8"""
1979,440 Yd. Relay,4A,"Roseziner Jackson, Annie Gray, Lisa Jones, Vera Dotson",Valdosta Wildcats,48.5
,,3A,"Sonja Slivers, Patricia Jackson, Patricia Holland, Wylene Jackson",George (ATL) Falcons (South Atlanta),49.8
,,2A,"Subrenia Miller, Debra Riden, Tammy Worthy, Lynn Walker",Westwood Vikings (Westlake Lions),49.6
,,1A,"Tangelia Hamilton, Alison McCrary, Carmen McClure, Michelle Whatley",Berry Academy Falcons,49.9
,1 Mile Run,4A,Karen Ackridge,Peachtree (ATL) Patriots (Dunwoody),05:11.6
,,3A,Claudia Escribano,Briarcliff Barons (Druid Hills),05:33.5
,,2A,Kim Smith,North Springs Spartans,05:14.5
,,1A,Marie Boulware,Pace Academy Knights,05:41.4
,440 Yd. Dash,4A,Denise Coholich,Fayette County Tigers,57.9
,,3A,Patsy Hawkins,Franklin County Lions,57.6
,,2A,Karen Key,Lakeshore Lancers (Westlake),58.6
,,1A,Alison McCrary,Berry Academy Falcons,01:00.0
,100 Yd. Dash,4A,Brenda Cliette,Northeast Raiders,10.8
,,3A,Phyllis Ganton,Gordon Generals (McNair Middle),11.3
,,2A,Valeria Holston,Archer (ATL) Eagles,11.2
,,1A,Veronica Walker,Johnson County Tigers,11.4
,110 Yd. Low Hurdles,4A,Michelle Scott,Sprayberry Yellow Jackets,14.3
,,3A,Angela Ashbury,Washington (ATL) Bulldogs,15.2
,,2A,Lorrye Kingdom,Vienna Vikings (Dooly County),15
,,1A,Janet Fluker,Brookstone Cougars,14.9
,880 Yd. Run,4A,Nell Spillman,North Cobb Warriors,02:17.7
,,3A,Cynthia Gilbert,Gordon Generals (McNair Middle),02:17.9
,,2A,Kim Smith,North Springs Spartans,02:18.3
,,1A,Stephanie Hines,Whigham Braves (Cairo),02:26.4
,220 Yd. Dash,4A,Brenda Cliette,Northeast Raiders,24.5
,,3A,Terri Ransom,Avondale Blue Devils,25.6
,,2A,Theresa Short,Stewart County Royal Knights,25.6
,,1A,Veronica Walker,Johnson County Tigers,25.9
,2 Mile Run,4A,Cynthia Cornelius,Northeast Raiders,11:39.1
,,3A,Gretchen Blaschke,Ridgeview (ATL) Redskins,12:09.3
,,2A,Paula Benton,Bass (ATL) Blue Warriors,12:15.8
,,1A,Marie Blair,Pace Academy Knights,11:41.0
,Mile Relay,4A,"Janette Perlote, LaTonya Green, Cynthia Cornelius, Brenda Cliette",Northeast Raiders,04:01.7
,,3A,"Bridgett Jones, Carolyn Varner, Cyntia Gilbert, Deborah Blue",Gordon Generals (McNair Middle),04:01.1
,,2A,"Cassandra Likely, Valerie Holston, Lowanda Stewart, Schelundie Phinazee",Archer (ATL) Eagles,04:02.7
,,1A,"Tangelia Hamilton, Alison McCrary, Carmen McClure, Michelle Whatley",Berry Academy Falcons,04:15.2
,Discus,4A,Kim Fortenberry,North Cobb Warriors,"142' 1"""
,,3A,Diane Brundage,Norcross Blue Devils,"118' 5"""
,,2A,Sally Page,Oconee County Warriors,"113' 9.5"""
,,1A,Becky Bailey,Gordon Lee Trojans,"108' 2.5"""
,High Jump,4A,Nancy Bailes,Johnson (Gainesville) Knights,"5' 2"""
,,3A,Holly Hoover,Ringgold Tigers,"5' 5"""
,,2A,Dena Spier,Crestwood (ATL) Colonels,"5' 6"""
,,1A,Janet Fluker,Brookstone Cougars,"5'2"""
,Shot Put,4A,Tammie Gable,Northside Tigers (North Atlanta),"39' 8"""
,,3A,Diane Brundage,Norcross Blue Devils,"43' 5.5."""
,,2A,Jona Burnetti,North Springs Spartans,"38' 4"""
,,1A,Josephine Leeks,Whigham Braves (Cairo),"38' 6"""
,Long Jump,4A,Brenda Cliette,Northeast Raiders,"19' 4.5"""
,,3A,Gwen Street,Swainsboro Tigers,"18' 8.75"""
,,2A,Theresa Short,Stewart County Royal Knights,"18' 1.5"""
,,1A,Alison McCrary,Berry Academy Falcons,"17' 6.25"""
1978,440 Yd. Relay,3A,"Tammy Thompson, Jackie Carter, Nona Andrews, Cynthia Richardson",Hardaway Hawks,49.5
,,2A,"Carmen Alexander, Janet Lewis, Monique Thompson, Beverly Taylor",Southwest Wolves (Mays),50.29
,,1A,"Rhonda Champion, Schelundie Phinazee, Valeria Holston, Lawanda Stewart",Archer (ATL) Eagles,49.1
,,B,"Marquitta Clerk, Sylvia Wimbish, Cindy Moore, Sandra Wimbish",Palmetto (ATL) Raiders (Creekside),51.6
