Year,Event,Class,Name,School,Mark
,Triple Jump,7A,Victoria Agyin,McEachern Indians,"40' 9"""
,,6A,Sydni Gilmore,Mays Raiders,"40' 0.5"""
,,5A,Sidney Sims,Fayette County Tigers,"39' 3"""
,,4A,India Turk,Howard (Macon) Huskies,"39' 6"""
,,3A,Zoe Jordan,Westside (Macon) Seminoles,"39' 0"""
,,2A,Ja'Mya Canady,East Laurens Falcons,"38' 5"""
,,1A,NyAsia Howard,Telfair County Trojans,"37' 7"""
,,1A-P,Christine Catherman,Holy Innocents' Golden Bears,"34' 9"""
,Pole Vault,7A,Rachel Gould,Kennesaw Mountain Mustangs,"10' 6"""
,,6A,Courtney Long,Allatoona Buccaneers,"12' 6"""
,,5A,Mutnodjmet Debnam,Grady Grey Knights,"9' 6"""
,,4A,Caron Dingler,Mary Persons Bulldogs,"13' 6"""
,,3A,Kaylee Riley,Bremen Blue Devils,"12' 3"""
,,2A,Perryn Morgan,Rabun County Wildcats,"9' 3"""
,,1A,Addison Whitman,Gordon Lee Trojans,"9' 0"""
,,1A-P,Becky Arbiv,The Weber School Rams,"13' 6.5"""
,Shot Put,7A,Natasha Stamp,Grayson Rams,"44' 6.75"""
,,6A,Erika Earwood,South Paulding Spartans,"42' 7"""
,,5A,Soteria Russell,Carver (ATL) Panthers,"41' 5.5"""
,,4A,Makenli Forrest,Woodward Academy War Eagles,"44' 7.5"""
,,3A,Kelsey Jones,Appling County Pirates,"38' 0.5"""
,,2A,Shakira Ardister,Elbert County Blue Devils,"39' 9"""
,,1A,Kenjanai Brown,Pelham Hornets,"33' 9.5"""
,,1A-P,Julia Harisay,Athens Academy Spartans,"40' 1.5"""
,Discus,7A,Grace Artis,Roswell Hornets,"135' 9"""
,,6A,Chelsea Igberaese,Dacula Falcons,"148' 8"""
