"State","Year","Gender","Event","Mark"
"Georgia",1993,"Girls","High Jump",1.5748
"Georgia",1994,"Boys","100m",10.8
"Georgia",1994,"Boys","1600m",260.2
"Georgia",1994,"Boys","800m",113.5
"Georgia",1994,"Boys","High Jump",1.9304
"Georgia",1994,"Boys","Pole Vault",3.6576
"Georgia",1994,"Girls","100m",12.09
"Georgia",1994,"Girls","1600m",308.7
"Georgia",1994,"Girls","800m",138.2
"Georgia",1994,"Girls","High Jump",1.6256
"Georgia",1995,"Boys","100m",10.65
"Georgia",1995,"Boys","1600m",257.4
"Georgia",1995,"Boys","800m",112.9
"Georgia",1995,"Boys","High Jump",1.9304
"Georgia",1995,"Boys","Pole Vault",3.81
"Georgia",1995,"Girls","100m",11.8
"Georgia",1995,"Girls","1600m",311.1
"Georgia",1995,"Girls","800m",136.4
"Georgia",1995,"Girls","High Jump",1.6764
"Georgia",1996,"Boys","100m",10.54
"Georgia",1996,"Boys","1600m",257
"Georgia",1996,"Boys","800m",113.6
"Georgia",1996,"Boys","High Jump",2.032
"Georgia",1996,"Boys","Pole Vault",3.6576
"Georgia",1996,"Girls","100m",12.04
"Georgia",1996,"Girls","1600m",305.4
"Georgia",1996,"Girls","800m",137.5
"Georgia",1996,"Girls","High Jump",1.7272
"Georgia",1997,"Boys","100m",10.71
"Georgia",1997,"Boys","1600m",256.3
"Georgia",1997,"Boys","800m",114.6
"Georgia",1997,"Boys","High Jump",2.032
"Georgia",1997,"Boys","Pole Vault",3.81
"Georgia",1997,"Girls","100m",11.9
"Georgia",1997,"Girls","1600m",300.9
"Georgia",1997,"Girls","800m",131.4
"Georgia",1997,"Girls","High Jump",1.6764
"Georgia",1998,"Boys","100m",10.59
"Georgia",1998,"Boys","1600m",259.4
"Georgia",1998,"Boys","800m",112.8
"Georgia",1998,"Boys","High Jump",2.032
"Georgia",1998,"Boys","Pole Vault",3.9624
"Georgia",1998,"Girls","100m",11.64
"Georgia",1998,"Girls","1600m",299.9
"Georgia",1998,"Girls","800m",135
"Georgia",1998,"Girls","High Jump",1.6256
"Georgia",1999,"Boys","100m",10.66
"Georgia",1999,"Boys","1600m",259
"Georgia",1999,"Boys","800m",110.2
"Georgia",1999,"Boys","High Jump",1.9304
"Georgia",1999,"Boys","Pole Vault",3.81
"Georgia",1999,"Girls","100m",11.84
"Georgia",1999,"Girls","1600m",311.9
"Georgia",1999,"Girls","800m",136.7
"Georgia",1999,"Girls","High Jump",1.5748
"Georgia",2000,"Boys","100m",10.41
"Georgia",2000,"Boys","1600m",255.5
"Georgia",2000,"Boys","800m",111.8
"Georgia",2000,"Boys","High Jump",1.9304
"Georgia",2000,"Boys","Pole Vault",3.9624
"Georgia",2000,"Girls","100m",11.73
"Georgia",2000,"Girls","1600m",309.4
"Georgia",2000,"Girls","800m",136.6
"Georgia",2000,"Girls","High Jump",1.5748
"Georgia",2001,"Boys","100m",10.49
"Georgia",2001,"Boys","1600m",252.5
"Georgia",2001,"Boys","800m",115.8
"Georgia",2001,"Boys","High Jump",1.9812
"Georgia",2001,"Boys","Pole Vault",3.81
"Georgia",2001,"Girls","100m",11.64
"Georgia",2001,"Girls","1600m",304.7
"Georgia",2001,"Girls","800m",131.4
"Georgia",2001,"Girls","High Jump",1.6256
"Georgia",2002,"Boys","100m",10.75
"Georgia",2002,"Boys","1600m",254.6
"Georgia",2002,"Boys","800m",114.5
"Georgia",2002,"Boys","High Jump",2.032
"Georgia",2002,"Boys","Pole Vault",3.81
"Georgia",2002,"Girls","100m",11.8
"Georgia",2002,"Girls","1600m",303.7
"Georgia",2002,"Girls","800m",129.5
"Georgia",2002,"Girls","High Jump",1.6256
"Georgia",2002,"Girls","Pole Vault",2.4384
"Georgia",2003,"Boys","100m",10.57
"Georgia",2003,"Boys","1600m",257.5
"Georgia",2003,"Boys","800m",114.3
"Georgia",2003,"Boys","High Jump",1.8796
"Georgia",2003,"Boys","Pole Vault",4.1148
"Georgia",2003,"Girls","100m",11.52
"Georgia",2003,"Girls","1600m",298.9
"Georgia",2003,"Girls","800m",130.3
"Georgia",2003,"Girls","High Jump",1.5748
"Georgia",2003,"Girls","Pole Vault",2.7432
"Georgia",2004,"Boys","100m",10.71
"Georgia",2004,"Boys","1600m",259.2
"Georgia",2004,"Boys","800m",114.8
"Georgia",2004,"Boys","High Jump",1.9812
"Georgia",2004,"Boys","Pole Vault",4.2672
"Georgia",2004,"Girls","100m",11.72
"Georgia",2004,"Girls","1600m",299
"Georgia",2004,"Girls","800m",129.6
"Georgia",2004,"Girls","High Jump",1.6002
"Georgia",2004,"Girls","Pole Vault",2.921
"Georgia",2005,"Boys","100m",10.6
"Georgia",2005,"Boys","1600m",260.8
"Georgia",2005,"Boys","800m",116.2
"Georgia",2005,"Boys","High Jump",1.9304
"Georgia",2005,"Boys","Pole Vault",3.9624
"Georgia",2005,"Girls","100m",11.95
"Georgia",2005,"Girls","1600m",294.7
"Georgia",2005,"Girls","800m",128.6
"Georgia",2005,"Girls","High Jump",1.6256
"Georgia",2005,"Girls","Pole Vault",2.8956
"Georgia",2006,"Boys","100m",10.7
"Georgia",2006,"Boys","1600m",253
