2007 Boys Track & Field State Champions,x,x,x
AAAA  Tyler Saiz Del Norte 4:18.13,,,
AAA Eric Fenton Hope Christian 4:20.60,,,
AA Sean Sanchez  Peñasco 4:39.33,,,
A Donnie Roy Tatum  4:52.25,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Luis Martinez,Cleveland,09:39.3,
AAAA  Tim Warner,Los Alamos,09:45.9,
AAA Eric Fenton,Hope Christian,09:54.7,
AA Antonio Varela,Pecos,09:56.2,
A Donny Roy,Tatum,10:43.5,
,,,
110 M Hurdles,,,
Class Name,School,Time,
AAAAA Daniel Fuentes,Hobbs,15.31,
AAAA  Hector Chavez,Santa Fe,14.95,
AAA Daniel Martinez,Robertson,15.1,
AA John Woods,Magdalena,16.39,
A Kolter West,Fort Sumner,15.37,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Rigo Moreno,Mayfield,39.39,
AAAA  Aaron Gomez,Farmington,38.97,
AAA Daniel Martinez,Robertson,40.6,
AA Kenny Evans,Lordsburg,40.79,
A Kolter West,Fort Sumner,40.27,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,La Cueva,42.3,
AAAA,Los Alamos,42.75,
AAA,Lovington,43.71,
AA,Santa Fe Prep,44.35,
A,Jal,44.69,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Cleveland,01:28.1,
AAAA,Los Alamos,01:29.9,
AAA,Lovington,01:31.7,
AA,Estancia,01:32.6,
A,Clovis Christian,01:35.8,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,La Cueva,03:35.7,
AAAA,Santa Teresa,03:36.1,
AAA,Lovington,03:43.4,
AA,Texico,03:41.4,
A,Tatum,03:50.8,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,La Cueva,03:22.3,
AAAA,Los Alamos,03:26.8,
AAA,Robertson,03:27.4,
AA,Estancia,03:31.4,
A,Fort Sumner,03:35.5,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Kevin Fry,Hobbs,51’-06.50”,
AAAA  Chris Morales,Artesia,51’-03.50”,
AAA Kody Salcido,Sandia Prep,48’-07.00”,
AA Dathan McWhorter,Texico,49’-00.00”,
A Kenny Duong,Clovis Christian,45’-00.00”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Willie Pounds,Eldorado,162’-10”,
AAAA  Jacob Newell,Albuquerque Academy,141’-05”,
AAA David Robinson,Socorro,143’-02”,
AA Dathan McWhoter,Texico,140’-10”,
A Junio Hernandez,Cliff,130’-09”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Jonathan Woods,Gadsden,22’-00.00”,
AAAA  Brandon Branch,Albuquerque Academy,22’-06.00”,
AAA CJ Berryman,Pojoaque,21’-08.75”,
AA Steeler Jordan,Dexter,20’-09.00”,
A Junior Hernandez,Cliff,20’-05.75”,
High Jump,,,
Class Name,,School,Distance
AAAAA Shay Reimers,,Hobbs,6’-04.00”
AAAA  Carlos Hernandez,,Santa Teresa,7’-00.00”
AAA Jon Adams Dimas,,Robertson,6’-02.00”
AA Junior Caraza,,Eunice,6’-04.00”
A Joe Neal Harrison,,Mountainair,6’-04.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Isaiah Lintz,,Hobbs,44’-04.75”
AAAA  Brandon Branch,,Albuquerque Academy,46’-01.00”
AAA Ryan Gonzales,,Silver,43’-01.75”
AA Junior Caraza,,Eunice,43’-10.25”
A Travis Mayberry,,Cliff,41’-11.50”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Chris Petro,,Cleveland,14’-00.00”
AAAA  Kamron Cain,,Artesia,14’-00.00”
AAA Jordan Ashcraft,,Ruidoso,13’-06.00”
AA Caleb Uzzel,,Capitan,12’-00.00”
A Jordan Huey,,Corona,12’-00.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA Paul Jaramillo,,Rio Rancho,183’-10”
AAAA  Orey Feerer,,Valencia,181’-11”
AAA Brandon Reese,,Silver,165’-01”
AA Cody Ogden,,Loving,164’-08”
A Junior Hernandez,,Cliff,176’-11”
2012 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Romell Jordan  Cleveland 10.80,,,
AAAA  Mikey Loy Bloomfield  11.24,,,
AAA CJ BerrymanPojoaque 11.24,,,
AA Wendell Hayes Lordsburg 11.17,,,
A Kevin Naceanceno Clovis Christian  11.11,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Devin Enslen Alamogordo 22.10,,,
AAAA  Richard Medrano Roswell 22.29,,,
